kanji,freq
人,1
一,2
見,3
言,4
出,5
気,6
思,7
大,8
手,9
上,10
何,11
間,12
分,13
行,14
日,15
中,16
目,17
自,18
生,19
子,20
今,21
事,22
合,23
時,24
前,25
入,26
本,27
心,28
方,29
立,30
私,31
来,32
物,33
者,34
的,35
無,36
話,37
力,38
後,39
下,40
取,41
意,42
知,43
動,44
体,45
当,46
不,47
感,48
理,49
会,50
度,51
持,52
場,53
切,54
地,55
通,56
家,57
部,58
年,59
学,60
込,61
先,62
聞,63
同,64
最,65
外,66
口,67
顔,68
性,69
身,70
食,71
女,72
小,73
付,74
引,75
実,76
向,77
変,78
所,79
全,80
悪,81
用,82
回,83
面,84
声,85
国,86
作,87
明,88
二,89
長,90
少,91
足,92
味,93
高,94
名,95
対,96
考,97
様,98
違,99
世,100
相,101
近,102
道,103
金,104
屋,105
戦,106
落,107
死,108
強,109
水,110
頭,111
内,112
発,113
待,114
着,115
書,116
開,117
好,118
数,119
定,120
直,121
色,122
男,123
代,124
音,125
決,126
三,127
然,128
情,129
返,130
使,131
別,132
空,133
重,134
機,135
信,136
真,137
正,138
化,139
葉,140
神,141
仕,142
結,143
誰,144
関,145
主,146
以,147
問,148
教,149
解,150
法,151
風,152
元,153
連,154
初,155
安,156
業,157
早,158
成,159
受,160
十,161
続,162
新,163
覚,164
白,165
要,166
文,167
止,168
残,169
彼,170
現,171
調,172
天,173
楽,174
張,175
多,176
流,177
山,178
帰,179
呼,180
歩,181
笑,182
置,183
確,184
界,185
必,186
飛,187
次,188
突,189
状,190
終,191
勝,192
起,193
始,194
能,195
命,196
過,197
振,198
得,199
指,200
乗,201
良,202
打,203
夜,204
抜,205
伝,206
離,207
配,208
形,209
愛,210
集,211
反,212
期,213
急,214
絶,215
戻,216
語,217
月,218
親,219
失,220
放,221
進,222
電,223
想,224
苦,225
表,226
特,227
消,228
果,229
息,230
応,231
経,232
殺,233
半,234
平,235
御,236
木,237
点,238
在,239
活,240
車,241
題,242
断,243
運,244
火,245
有,246
社,247
光,248
姿,249
押,250
逃,251
助,252
番,253
品,254
転,255
追,256
由,257
員,258
海,259
野,260
掛,261
原,262
可,263
交,264
利,265
報,266
義,267
寄,268
線,269
態,270
血,271
説,272
緒,273
差,274
素,275
走,276
常,277
深,278
撃,279
石,280
馬,281
他,282
格,283
計,284
室,285
美,286
加,287
限,288
保,289
遠,290
記,291
達,292
背,293
守,294
広,295
嫌,296
送,297
首,298
役,299
備,300
画,301
存,302
組,303
負,304
選,305
難,306
座,307
寝,308
制,309
読,310
料,311
花,312
任,313
術,314
質,315
校,316
公,317
我,318
係,319
器,320
視,321
際,322
魔,323
予,324
倒,325
答,326
認,327
念,328
朝,329
論,330
願,331
売,332
満,333
赤,334
母,335
頼,336
黒,337
和,338
議,339
細,340
店,341
士,342
単,343
飲,344
痛,345
軍,346
病,347
買,348
望,349
熱,350
産,351
民,352
父,353
識,354
焼,355
勢,356
腹,357
四,358
位,359
土,360
構,361
側,362
割,363
冷,364
優,365
段,366
根,367
王,368
君,369
茶,370
務,371
破,372
第,373
式,374
両,375
許,376
横,377
浮,378
端,379
休,380
渡,381
余,382
約,383
抱,384
件,385
字,386
隠,387
族,388
台,389
古,390
共,391
服,392
住,393
完,394
工,395
肉,396
降,397
再,398
夫,399
太,400
異,401
似,402
敵,403
精,404
告,405
万,406
観,407
治,408
裏,409
門,410
政,411
夢,412
若,413
装,414
投,415
鳴,416
礼,417
居,418
市,419
路,420
去,421
胸,422
紙,423
片,424
速,425
五,426
証,427
権,428
種,429
兵,430
乱,431
傷,432
腕,433
青,434
量,435
散,436
耳,437
験,438
支,439
仲,440
注,441
師,442
団,443
田,444
害,445
東,446
危,447
具,448
忘,449
客,450
巻,451
恐,452
申,453
川,454
髪,455
普,456
談,457
接,458
驚,459
途,460
囲,461
案,462
遊,463
触,464
極,465
都,466
容,467
静,468
供,469
逆,470
育,471
訳,472
島,473
友,474
程,475
官,476
参,477
判,478
暗,479
造,480
退,481
薬,482
船,483
軽,484
越,485
舞,486
働,487
弱,488
図,489
処,490
困,491
準,492
角,493
瞬,494
類,495
非,496
駅,497
未,498
踏,499
警,500
試,501
探,502
泣,503
席,504
密,505
罪,506
吹,507
弾,508
欲,509
詰,510
眼,511
右,512
収,513
周,514
技,515
草,516
興,517
求,518
防,519
頃,520
与,521
久,522
替,523
折,524
八,525
薄,526
